년월,생태구역,해수수질기준,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층COD,저층COD,표층NH4-N,저층NH4-N,표층NO2-N,저층NO2-N,표층NO3-N,저층NO3-N,표층DIN,저층DIN,표층T-N,저층T-N,표층DIP,저층DIP,표층T-P,저층T-P,표층SiO2-Si,저층SiO2-Si,표층SS,저층SS,표층Chl-a,저층Chl-a,표층투명도,수거량,수거량2,정화면적,일별처리량,시설용량(톤/일)(A),방류BOD(mg/L)평균,"평균
처리효율
(%)",방류COD(mg/L)평균,방류SS(mg/L)평균,방류T-N(mg/L)평균,방류T-P(mg/L)평균,방류대장균군수(개/mL)평균
201702,동해,2,11.4088,10.7163,34.4728,34.3941,8.31,8.33,9.156564325,9.074563893,1.762986667,1.459973333,5.642,7.392,2.324,2.366,31.122,30.982,39.088,40.74,284.326,163.002,7.564,7.533,21.142,16.368,223.524,196.084,5.5,7.6,0.718,0.818,6,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,11.0119,11.0215,34.3257,34.4258,8.31,8.33,9.042107271,9.287121246,1.630762667,1.807061333,6.944,10.752,2.464,2.436,41.216,34.65,50.624,47.838,184.744,154.392,7.502,7.657,22.506,19.871,221.088,277.732,8.4,9.3,0.678,0.878,7,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,11.1815,11.1289,34.4407,34.4538,8.31,8.33,9.091160294,9.090914459,1.250618667,1.311221333,2.884,2.618,2.688,2.324,54.474,28.966,60.046,33.908,154.714,155.974,7.75,7.502,19.406,18.631,311.836,229.6,6,3.5,0.754,0.794,7.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,11.8538,11.2506,34.4564,34.5017,8.29,8.31,8.862246186,9.009161631,1.399370667,1.757477333,1.778,5.222,2.478,2.198,46.578,27.006,50.834,34.426,155.68,149.506,7.843,7.657,17.422,19.158,349.72,257.348,4,9.35,0.382,0.362,10,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,11.8466,11.2448,34.2107,34.5036,8.29,8.3,8.894948202,8.812954844,1.746458667,1.807061333,4.172,8.456,2.212,2.24,31.066,29.554,37.45,40.25,155.638,152.334,7.502,7.657,18.29,17.67,217.812,245.728,3.05,12.6,0.232,0.464,9,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,11.6929,10.6902,34.454,34.3922,8.29,8.34,9.042107271,9.434276336,1.647290667,2.451653333,1.61,6.58,2.408,2.226,42.77,23.926,46.788,32.732,166.138,146.174,7.75,7.409,19.716,18.507,332.136,176.988,6.05,4.1,0.408,0.748,7,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.8309,11.7201,34.4275,34.495,8.28,8.29,8.67,8.56,1.266496,1.167808,4.34,7.602,3.57,3.108,52.612,40.936,60.522,51.646,169.428,154.378,8.153,8.029,21.576,18.91,192.92,170.8,3.15,3.5,0.0318,0.0326,9.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,13.6946,13.4476,34.4156,34.4181,8.13,8.15,8.479691632,8.546229751,1.31584,0.871744,4.97,4.018,3.78,3.01,70.098,59.388,78.848,66.416,172.578,177.254,10.571,8.525,21.855,21.08,257.796,211.008,2.45,2.85,0.364,0.308,10,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,13.5857,13.2171,34.4334,34.4257,8.15,8.15,8.546460857,8.412694911,0.98688,0.921088,3.682,3.388,3.71,3.262,74.312,66.388,81.704,73.038,165.984,180.11,11.191,10.664,20.677,21.421,277.312,249.368,3.05,2.5,0.1704,0.236,12,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,대한해협,1,13.6855,13.4377,34.4162,34.4435,8.13,8.13,8.529768551,8.479462331,1.713984,1.128192,12.474,10.892,5.068,4.592,84.77,73.57,102.312,89.054,114.548,131.586,10.292,9.796,14.074,13.795,270.536,257.74,2.45,2.65,0.1468,0.32,10,0.280485864,225.2728571,377.9857143,4876.070015,7389.444444,2.317944921,0.949877231,8.737063913,2.425879742,6.661255342,0.161203981,218.3033112
